,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert
184,nunosilva800/pGEMM_performanceEval,C,git,https://github.com/nunosilva800/pGEMM_performanceEval.git,1,4572781,,,
185,miwelc/OpenMPI--TravellingSalesmanProblemSolver,C++,git,https://github.com/miwelc/OpenMPI--TravellingSalesmanProblemSolver.git,2,4572781,,,
186,barz1/Multithreaded-Sorts,C,git,https://github.com/barz1/Multithreaded-Sorts.git,1,4522781,,,
187,stilgar/Radix-Sort,C,git,https://github.com/stilgar/Radix-Sort.git,4,4122781,,,
188,kallus/Lattice-gas-automata,C,git,https://github.com/kallus/Lattice-gas-automata.git,5,4092781,,,
189,wolfway/OpenMP,C,git,https://github.com/wolfway/OpenMP.git,1,3672781,,,
190,yoggy/md5brute,C++,git,https://github.com/yoggy/md5brute.git,0,3672781,,,
191,bw-hro/Parallel-Matrix-Multiplication,C,git,https://github.com/bw-hro/Parallel-Matrix-Multiplication.git,2,3252781,,,
192,marcotinacci/image-clustering,C++,git,https://github.com/marcotinacci/image-clustering.git,3,3152781,,,
193,sugiartocokrowibowo/openmp-exercises,C,git,https://github.com/sugiartocokrowibowo/openmp-exercises.git,0,09.01.9738,,,
194,ghulette/neural-net-openmp,C++,git,https://github.com/ghulette/neural-net-openmp.git,2,26.08.8916,,,
195,vazexqi/OpenMPMicroBenchmarks,C,git,https://github.com/vazexqi/OpenMPMicroBenchmarks.git,1,18.10.8204,,,
196,mpolitzer/life,C,git,https://github.com/mpolitzer/life.git,3,22.12.7711,,,
197,AlexAllen/danPrllelTst,C++,git,https://github.com/AlexAllen/danPrllelTst.git,1,29.01.7575,,,
198,kkourt/gcc-ompinfo,C,git,https://github.com/kkourt/gcc-ompinfo.git,2,24.02.7219,,,
199,Climax777/OpenMPTest,C++,git,https://github.com/Climax777/OpenMPTest.git,1,23.05.7164,,,
200,kielfriedt/Multithreading,C++,git,https://github.com/kielfriedt/Multithreading.git,1,03.04.7082,,,
201,jonaias/Programacao-concorrente,C++,git,https://github.com/jonaias/Programacao-concorrente.git,1,16.11.7054,,,
202,robomotic/Multi-Parallel-Agent-Simulator--Empass-,C,git,https://github.com/robomotic/Multi-Parallel-Agent-Simulator--Empass-.git,2,06.10.3796,,,
203,WilliamRen/pam-face-authentication,C++,git,https://github.com/WilliamRen/pam-face-authentication.git,4,-267219,,,
204,brNX/DES,C++,git,https://github.com/brNX/DES.git,5,-717219,,,
205,mpedrero/aesth,C++,git,https://github.com/mpedrero/aesth.git,3,-887219,,,
206,scotts/cellgen,C,git,https://github.com/scotts/cellgen.git,9,-957219,,,
207,noodll/openMPI,C,git,https://github.com/noodll/openMPI.git,1,-1407219,,,
208,jrk/QuakeTM,C,git,https://github.com/jrk/QuakeTM.git,4,-4957219,,,
209,ryanfb/teem-parallel,C,git,https://github.com/ryanfb/teem-parallel.git,2,-7917219,,,
210,iNeil77/OpenMP-Intel,C,git,https://github.com/iNeil77/OpenMP-Intel.git,0,01.03.7081,,,
211,stahtews/Simulation-of-Fluid-Dynamics-,C++,git,https://github.com/stahtews/Simulation-of-Fluid-Dynamics-.git,0,14.10.7053,,,
212,stahtews/TravellingSalesman-GeneticAlgorithm-OpenMp,C++,git,https://github.com/stahtews/TravellingSalesman-GeneticAlgorithm-OpenMp.git,0,14.10.7053,,,
213,hcheng761/Parallel-Block-Multiplier,C,git,https://github.com/hcheng761/Parallel-Block-Multiplier.git,0,29.05.7026,,,
214,vorixo/OMP-ImageFiltering-EasyBMP,C++,git,https://github.com/vorixo/OMP-ImageFiltering-EasyBMP.git,0,29.05.7026,,,
215,AblyazovDavlat/gradient_for_SLE_OpenMP,C++,git,https://github.com/AblyazovDavlat/gradient_for_SLE_OpenMP.git,0,29.05.7026,,,
216,hfxunlp/pamath,C++,git,https://github.com/hfxunlp/pamath.git,0,29.05.7026,,,
217,kw90/OpenMP,C++,git,https://github.com/kw90/OpenMP.git,0,10.01.6999,,,
218,BilalKhanXZT/15-Puzzle-Using-OpenMP_HPC,C,git,https://github.com/BilalKhanXZT/15-Puzzle-Using-OpenMP_HPC.git,0,25.08.6971,,,
219,ananthsuresh/eecs438-hw6,C,git,https://github.com/ananthsuresh/eecs438-hw6.git,0,21.11.6916,,,
220,ananthsuresh/eecs438-hw7,C,git,https://github.com/ananthsuresh/eecs438-hw7.git,1,21.11.6916,,,
221,mareckste/mandelbrot_set,C++,git,https://github.com/mareckste/mandelbrot_set.git,0,21.11.6916,,,
222,panosfoto/parallel_heat,C,git,https://github.com/panosfoto/parallel_heat.git,0,21.11.6916,,,
223,LiyaSharipova/OpenMP-Tasks,C++,git,https://github.com/LiyaSharipova/OpenMP-Tasks.git,0,05.07.6889,,,
224,falmatam/image-processor-openMP,C++,git,https://github.com/falmatam/image-processor-openMP.git,0,05.07.6889,,,
225,Chris7462/Parallel-Kernel,C++,git,https://github.com/Chris7462/Parallel-Kernel.git,0,05.07.6889,,,
226,jordanott/Neural-Network-Parallelization,C++,git,https://github.com/jordanott/Neural-Network-Parallelization.git,4,05.07.6889,,,
227,score-p/scorep_plugin_openmp,C,git,https://github.com/score-p/scorep_plugin_openmp.git,1,17.02.6862,,,
228,nidhi1994/Parallel-computing-openmp,C,git,https://github.com/nidhi1994/Parallel-computing-openmp.git,0,02.10.6834,,,
229,sowmyapa/GaussainEliminationParallelProgramming,C,git,https://github.com/sowmyapa/GaussainEliminationParallelProgramming.git,1,02.10.6834,,,
230,nbalov/OpenMPI,C,git,https://github.com/nbalov/OpenMPI.git,0,17.05.6807,,,
231,kheaton/CS4230-Parallel-Programming-In-Class-OpenMPI,C,git,https://github.com/kheaton/CS4230-Parallel-Programming-In-Class-OpenMPI.git,0,30.12.6779,,,
232,manuel-fidalgo/Parallel-computing-OpenMP,C,git,https://github.com/manuel-fidalgo/Parallel-computing-OpenMP.git,0,13.08.6752,,,
233,anamud/mir-omp-int,C,git,https://github.com/anamud/mir-omp-int.git,0,13.08.6752,,,
234,mizadri/parallel,C,git,https://github.com/mizadri/parallel.git,0,13.08.6752,,,
235,pyright/OpenMP_2,C++,git,https://github.com/pyright/OpenMP_2.git,0,13.08.6752,,,
236,churia/HPC-OpenMP,C,git,https://github.com/churia/HPC-OpenMP.git,0,13.08.6752,,,
237,smsolivier/Mandelbrot,C++,git,https://github.com/smsolivier/Mandelbrot.git,0,28.03.6725,,,
238,gfortil/pi_opt_program,C++,git,https://github.com/gfortil/pi_opt_program.git,0,28.03.6725,,,
239,Sloox/OPENMPIMANDEL,C,git,https://github.com/Sloox/OPENMPIMANDEL.git,0,28.03.6725,,,
240,pyright/OpenMP_1,C++,git,https://github.com/pyright/OpenMP_1.git,0,28.03.6725,,,
241,pyright/omp_hello,C,git,https://github.com/pyright/omp_hello.git,0,09.11.6697,,,
242,GoodBoy962/ParallelProgramming,C++,git,https://github.com/GoodBoy962/ParallelProgramming.git,0,06.02.6643,,,
243,GuanhuaWang/OpenMP_MPI,C++,git,https://github.com/GuanhuaWang/OpenMP_MPI.git,0,06.02.6643,,,
244,danfergo/cpar,C++,git,https://github.com/danfergo/cpar.git,0,21.09.6615,,,
245,fogodev/radixmp,C,git,https://github.com/fogodev/radixmp.git,3,21.09.6615,,,
246,dlcheng/RSD-window,C,git,https://github.com/dlcheng/RSD-window.git,0,21.09.6615,,,
