,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert
4837.0,shuibitianantian/Arbitrary-FFT,C++,git,https://github.com/shuibitianantian/Arbitrary-FFT.git,2.0,-5528015,,,
2608.0,colleeneb/openmp45_examples,C++,git,https://github.com/colleeneb/openmp45_examples.git,2.0,9402383,,,
7378.0,CARTAvis/fits2idia,C++,git,https://github.com/CARTAvis/fits2idia.git,2.0,6101985,,,
1180.0,shonteag/openmp-travelling-salesman,,git,https://github.com/shonteag/openmp-travelling-salesman.git,2.0,-8937617,,,
2689.0,daiyaanarfeen/Dumpy,C,git,https://github.com/daiyaanarfeen/Dumpy.git,2.0,9092383,,,
6254.0,alessandrocasalino/OpenMP_Exercises,C++,git,https://github.com/alessandrocasalino/OpenMP_Exercises.git,2.0,3251985,,,
7415.0,RackotRR/SPH2D,C++,git,https://github.com/RackotRR/SPH2D.git,2.0,5851985,,,
4561.0,syedayazsa/DES-Encryption-Parallelization,C++,git,https://github.com/syedayazsa/DES-Encryption-Parallelization.git,2.0,-4558015,,,
3182.0,prateek22sri/Parallel-SSSP-OpenMP,C,git,https://github.com/prateek22sri/Parallel-SSSP-OpenMP.git,2.0,7122383,,,
1724.0,Trick-17/backends,C++,git,https://github.com/Trick-17/backends.git,2.0,4532383,,,
5518.0,Zhihh/Parallel-Optimization-of-Matrix-Inversion,C,git,https://github.com/Zhihh/Parallel-Optimization-of-Matrix-Inversion.git,2.0,-828015,,,
6942.0,cima22/KD-Tree_Parallel_Builder,C,git,https://github.com/cima22/KD-Tree_Parallel_Builder.git,2.0,14.12.5409,,,
6708.0,Im-Rises/cMergeSortParallel,C,git,https://github.com/Im-Rises/cMergeSortParallel.git,2.0,20.12.7216,,,
2152.0,cesargdm/game-of-life,C,git,https://github.com/cesargdm/game-of-life.git,2.0,12.10.7847,,,
7006.0,ccarmona02/ca_p2,C++,git,https://github.com/ccarmona02/ca_p2.git,2.0,15.05.4862,,,
5731.0,hd-zhao-uu/PedestrianSimulation,C++,git,https://github.com/hd-zhao-uu/PedestrianSimulation.git,2.0,-1448015,,,
2183.0,mtsp/mtsp-sw,C++,git,https://github.com/mtsp/mtsp-sw.git,2.0,18.09.7409,,,
6911.0,ViktorooReps/skpod,C,git,https://github.com/ViktorooReps/skpod.git,2.0,09.08.5601,,,
5610.0,mahbod-art/Parallelize-matrix-multiplication-OpenMP,C,git,https://github.com/mahbod-art/Parallelize-matrix-multiplication-OpenMP.git,2.0,-1078015,,,
1952.0,ismtabo/cp-2017-scan-sky,C,git,https://github.com/ismtabo/cp-2017-scan-sky.git,2.0,3442383,,,
5544.0,Chivier/ompfuns,C,git,https://github.com/Chivier/ompfuns.git,2.0,-888015,,,
3531.0,nicolas-carolo/K-means,C,git,https://github.com/nicolas-carolo/K-means.git,2.0,-7948015,,,
