,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert,use_cmake,DEFAULT_CMAKE_BUILDABLE
3578.0,kym343/Super-resolution-SRCNN-VDSR-with-GUI,C++,git,https://github.com/kym343/Super-resolution-SRCNN-VDSR-with-GUI.git,4.0,-8048015,bd6c1ffad8651adda979812a65fe9b73918b2c00,,,False,False
5216.0,capellil/iPregel,C,git,https://github.com/capellil/iPregel.git,4.0,31.08.2644,4b53ac09e138698cccc7f76d6bedcd195f8fdda4,,,False,False
7630.0,SciCompKL/OpDiLib,C++,git,https://github.com/SciCompKL/OpDiLib.git,4.0,5541985,93d05a762f1b614a84767ea5ba75fd7e2c27f317,,,False,False
2109.0,ddemidov/ilu_solve,C++,git,https://github.com/ddemidov/ilu_solve.git,4.0,01.02.8231,72c29633b0352217b7f0fd6f316590b378b6be22,,,True,False
7850.0,bsc-pm/tagaspi,C++,git,https://github.com/bsc-pm/tagaspi.git,4.0,4701985,935a092256d652d26f620b2d79a012a277673990,,,False,False
208.0,jrk/QuakeTM,C,git,https://github.com/jrk/QuakeTM.git,4.0,-4957219,f024c830901aef900060737224523d6c9e443836,,,False,False
203.0,WilliamRen/pam-face-authentication,C++,git,https://github.com/WilliamRen/pam-face-authentication.git,4.0,-267219,2834bd83e166fb5f0ee60e88c6b6df40a2a9f6bf,,,False,False
3747.0,Saroopashree/openmp-kmeans,C,git,https://github.com/Saroopashree/openmp-kmeans.git,4.0,-8528015,f3be2d3a1614161fb25d7afc9730c749fb1ef6e3,,,False,False
1453.0,PawanKL/Pthread-vs-OpenMP,C,git,https://github.com/PawanKL/Pthread-vs-OpenMP.git,4.0,5762383,4d4db9cc8a6c3a59bee86090d9139e7835f90aeb,,,False,False
3246.0,VenkateshBH99/KMEANS-Clustering-C-OPENMP-CUDA-MPI,C,git,https://github.com/VenkateshBH99/KMEANS-Clustering-C-OPENMP-CUDA-MPI.git,4.0,-6768015,ad317d36ba756679422039fd7a3b4d900eb2b8c6,,,False,False
5476.0,jinaojakezhang/FEDFEMBioheatExpan,C++,git,https://github.com/jinaojakezhang/FEDFEMBioheatExpan.git,4.0,-708015,771b07f09fb15b8bed5288a20464e8de73fe9dd0,,,False,False
8066.0,zamb0/2D_Fast_Fourier_Transform_OpenMPI,C,git,https://github.com/zamb0/2D_Fast_Fourier_Transform_OpenMPI.git,4.0,4051985,0cd59706eccdab66a09bf2932606b59c07697b45,,,False,False
1146.0,ozamarripa/bmlpa,C++,git,https://github.com/ozamarripa/bmlpa.git,4.0,-8357617,694ab52ebbd1f6d1bc18dcca1ad5f7912ecb5f6a,,,False,False
5532.0,dayyass/hpc,C++,git,https://github.com/dayyass/hpc.git,4.0,-858015,d88dba9c548b6f4c6a0260883a5cf4426ac119ff,,,False,False
17.0,noritsuna/HandDetectorOpenMP,C++,git,https://github.com/noritsuna/HandDetectorOpenMP.git,4.0,-10067617,1403e807230dd7f14aef3f5dc7d46eb555d836d1,,,False,False
4909.0,zonghan0904/2020_Fall_PP,C++,git,https://github.com/zonghan0904/2020_Fall_PP.git,4.0,-5748015,3c5633efec0cee0eb7bb284ece3e7c9bd9159433,,,False,False
974.0,pramttl/installing-icpc-osx,C,git,https://github.com/pramttl/installing-icpc-osx.git,4.0,-5377617,798f8bd9d0d4a089c67d66c4b203d58600540085,,,False,False
2786.0,MichaelRol/Lattice-Boltzmann-OpenMP,C,git,https://github.com/MichaelRol/Lattice-Boltzmann-OpenMP.git,4.0,8752383,eae1de13e2f7ca4e35e2868d87b48afb2c6f5b67,,,False,False
7466.0,dfsp-spirit/cpp_geodesics,C++,git,https://github.com/dfsp-spirit/cpp_geodesics.git,4.0,5701985,3ed35e9bacd87db303c94871f4960c473846bb56,,,True,True
3092.0,Bayons/OpenMP,C,git,https://github.com/Bayons/OpenMP.git,4.0,7492383,c8b56e848a2eb9bafd876f62362542e57816af42,,,False,False
2970.0,mcanalesmayo/jacobi-mpi,C,git,https://github.com/mcanalesmayo/jacobi-mpi.git,4.0,7962383,ef1b1c61526ec361e20520aaec0f4fd0d2e43bfe,,,False,False
1219.0,robotenique/parallel-prog,C,git,https://github.com/robotenique/parallel-prog.git,4.0,6862383,58741ad98b20a3ec30d74e6b361103367700a84b,,,False,False
1910.0,jeffamstutz/psimd,C++,git,https://github.com/jeffamstutz/psimd.git,3.0,3742383,2c4340c045edf44db67f0af87de2f41b765e2f42,,,True,False
1631.0,carlosbg1991/80211ParallelEstimation,C,git,https://github.com/carlosbg1991/80211ParallelEstimation.git,3.0,5002383,9cf10274763a9f9e8657056fb850df857c972028,,,False,False
7032.0,vtsynergy/MetaMorph,C,git,https://github.com/vtsynergy/MetaMorph.git,3.0,04.05.4643,ae849e27eaa33d5d596feb7e7b4a84e5f018dbaa,,,False,False
1792.0,batux/parallel_dataset_processing,C++,git,https://github.com/batux/parallel_dataset_processing.git,3.0,4262383,35a6cd697e678cffa118157c4d2bad3e0e6b9135,,,False,False
